,Date,Country,City,Specie,count,min,max,median,variance
37919,2019-10-11,US,Raleigh,pm25,63,4.0,57.0,21.0,1467.81
37920,2019-10-24,US,Raleigh,pm25,72,13.0,57.0,30.0,1061.25
37921,2019-11-10,US,Raleigh,pm25,72,9.0,99.0,46.0,3894.92
37922,2019-11-13,US,Raleigh,pm25,64,5.0,50.0,17.0,1049.75
37923,2019-11-24,US,Raleigh,pm25,61,5.0,61.0,17.0,1216.17
37924,2019-12-15,US,Raleigh,pm25,72,9.0,59.0,21.0,1241.69
37925,2019-12-27,US,Raleigh,pm25,72,13.0,124.0,46.0,2997.87
37926,2019-12-28,US,Raleigh,pm25,70,13.0,87.0,50.0,2251.17
37927,2019-12-29,US,Raleigh,pm25,70,5.0,63.0,30.0,2929.72
37928,2019-10-01,US,Raleigh,pm25,71,5.0,59.0,34.0,2271.42
37929,2019-11-06,US,Raleigh,pm25,71,13.0,61.0,42.0,929.59
37930,2019-12-31,US,Raleigh,pm25,68,5.0,134.0,21.0,4255.05
37931,2020-01-05,US,Raleigh,pm25,45,5.0,55.0,13.0,991.64
37932,2019-11-08,US,Raleigh,pm25,67,5.0,63.0,17.0,2922.79
37933,2019-12-01,US,Raleigh,pm25,71,9.0,55.0,30.0,1206.26
37934,2019-11-28,US,Raleigh,pm25,65,5.0,42.0,13.0,924.29
37935,2019-12-04,US,Raleigh,pm25,67,9.0,55.0,25.0,1061.59
37936,2019-12-07,US,Raleigh,pm25,71,13.0,72.0,38.0,2413.33
37937,2019-12-26,US,Raleigh,pm25,72,21.0,86.0,53.0,2688.43
37938,2019-10-23,US,Raleigh,pm25,65,4.0,38.0,13.0,630.01
39988,2019-11-27,US,Boston,pm25,142,5.0,95.0,53.0,2853.57
39989,2019-12-12,US,Boston,pm25,143,5.0,68.0,38.0,2125.34
39990,2019-10-06,US,Boston,pm25,134,9.0,63.0,30.0,1644.54
39991,2019-10-22,US,Boston,pm25,139,5.0,65.0,30.0,1342.16
39992,2019-10-27,US,Boston,pm25,137,5.0,102.0,25.0,3355.43
39993,2019-10-30,US,Boston,pm25,132,5.0,70.0,25.0,2126.78
39994,2019-11-04,US,Boston,pm25,141,9.0,63.0,30.0,1974.76
39995,2019-11-19,US,Boston,pm25,138,5.0,55.0,30.0,1583.53
39996,2019-12-16,US,Boston,pm25,71,5.0,53.0,21.0,1288.64
39997,2019-12-27,US,Boston,pm25,135,5.0,61.0,25.0,1345.69
39998,2019-12-24,US,Boston,pm25,122,5.0,59.0,25.0,1955.34
39999,2019-10-01,US,Boston,pm25,119,5.0,65.0,25.0,1114.39
40000,2019-10-09,US,Boston,pm25,105,13.0,74.0,30.0,1154.44
40001,2019-10-28,US,Boston,pm25,120,5.0,55.0,17.0,1084.29
40002,2019-11-03,US,Boston,pm25,137,5.0,82.0,42.0,2707.68
40003,2019-11-30,US,Boston,pm25,132,5.0,57.0,21.0,993.65
40004,2019-12-22,US,Boston,pm25,144,34.0,91.0,61.0,1344.8
40005,2019-11-01,US,Boston,pm25,110,5.0,42.0,21.0,1093.05
40006,2019-11-10,US,Boston,pm25,144,13.0,72.0,42.0,2014.79
40007,2019-11-24,US,Boston,pm25,131,5.0,61.0,30.0,3065.86
40008,2019-12-06,US,Boston,pm25,132,5.0,70.0,30.0,2181.58
40009,2019-12-14,US,Boston,pm25,67,5.0,57.0,13.0,1304.35
40010,2019-12-18,US,Boston,pm25,91,5.0,50.0,25.0,848.35
40011,2019-10-12,US,Boston,pm25,126,5.0,50.0,17.0,960.87
40012,2019-10-24,US,Boston,pm25,139,5.0,65.0,30.0,1666.88
40013,2019-10-26,US,Boston,pm25,133,5.0,82.0,30.0,2421.74
40014,2019-11-09,US,Boston,pm25,136,5.0,63.0,21.0,2050.25
40015,2019-11-17,US,Boston,pm25,140,9.0,55.0,25.0,1160.34
40016,2019-12-01,US,Boston,pm25,139,5.0,65.0,30.0,2282.04
40017,2020-01-01,US,Boston,pm25,95,5.0,50.0,17.0,892.95
40018,2019-11-28,US,Boston,pm25,114,5.0,57.0,21.0,1313.85
40019,2020-01-02,US,Boston,pm25,128,5.0,55.0,21.0,895.52
40020,2019-12-09,US,Boston,pm25,139,5.0,65.0,25.0,1643.61
40021,2019-12-23,US,Boston,pm25,140,5.0,87.0,53.0,4905.01
