item_id,date,p10,p50,p90
475,2020-05-03T00:00:00Z,1072.996704,1101.627319,1137.465576
475,2020-05-04T00:00:00Z,1013.907349,1084.400757,1148.130859
475,2020-05-05T00:00:00Z,1021.752502,1081.836548,1147.709961
475,2020-05-06T00:00:00Z,1026.73877,1077.506592,1156.250122
475,2020-05-07T00:00:00Z,1031.054199,1095.277832,1148.351929
475,2020-05-08T00:00:00Z,1040.763306,1097.563232,1165.571655
475,2020-05-09T00:00:00Z,1029.240723,1093.928101,1167.894775
475,2020-05-10T00:00:00Z,1021.048462,1094.616455,1140.765015
475,2020-05-11T00:00:00Z,975.0518188,1058.292114,1153.972046
475,2020-05-12T00:00:00Z,991.6625366,1071.009766,1162.316528
475,2020-05-13T00:00:00Z,988.6665649,1086.855591,1154.53418
475,2020-05-14T00:00:00Z,986.1421509,1083.223022,1149.049194
475,2020-05-15T00:00:00Z,1005.369751,1081.591919,1145.5354
475,2020-05-16T00:00:00Z,980.7739258,1075.695557,1128.440186
574,2020-05-03T00:00:00Z,842.8936768,889.4984741,950.6419678
574,2020-05-04T00:00:00Z,793.5949707,883.1651611,970.5622559
574,2020-05-05T00:00:00Z,764.6389771,879.5899658,995.1620483
574,2020-05-06T00:00:00Z,790.1104736,903.1951294,1012.097534
574,2020-05-07T00:00:00Z,735.6325684,888.1175537,1077.801025
574,2020-05-08T00:00:00Z,828.0245972,944.2979736,1062.051147
574,2020-05-09T00:00:00Z,888.8720703,976.2670898,1110.765503
574,2020-05-10T00:00:00Z,847.223877,958.652771,1065.649658
574,2020-05-11T00:00:00Z,731.2365112,932.5975952,1052.727417
574,2020-05-12T00:00:00Z,760.041626,939.9465332,1085.152344
574,2020-05-13T00:00:00Z,746.3203125,944.1415405,1052.863159
574,2020-05-14T00:00:00Z,802.947937,954.6931763,1097.125854
574,2020-05-15T00:00:00Z,787.8632813,968.5566406,1116.87854
574,2020-05-16T00:00:00Z,818.583374,1004.368286,1155.094238
613,2020-05-03T00:00:00Z,1152.767578,1202.112305,1273.333862
613,2020-05-04T00:00:00Z,1129.68457,1185.230347,1240.062256
613,2020-05-05T00:00:00Z,1118.789673,1190.486816,1269.551025
613,2020-05-06T00:00:00Z,1115.215942,1189.134644,1287.462891
613,2020-05-07T00:00:00Z,1091.802368,1186.530518,1271.962158
