,Date,Country,City,Specie,count,min,max,median,variance
146194,2020-03-11,HK,Hong Kong,pm25,353,8.0,84.0,61.0,1050.2
146195,2020-03-18,HK,Hong Kong,pm25,343,5.0,105.0,76.0,1671.25
146196,2020-05-01,HK,Hong Kong,pm25,360,23.0,103.0,59.0,1401.58
146197,2020-02-18,HK,Hong Kong,pm25,349,8.0,93.0,45.0,1186.46
146198,2020-01-11,HK,Hong Kong,pm25,355,28.0,160.0,83.0,5816.32
146199,2020-01-31,HK,Hong Kong,pm25,346,34.0,163.0,75.0,1986.03
146200,2020-02-21,HK,Hong Kong,pm25,359,14.0,89.0,47.0,1612.63
146201,2020-03-31,HK,Hong Kong,pm25,336,3.0,92.0,50.0,3068.29
146202,2020-04-03,HK,Hong Kong,pm25,352,7.0,99.0,65.0,2623.08
146203,2020-01-07,HK,Hong Kong,pm25,343,30.0,122.0,65.0,1688.05
146204,2020-01-22,HK,Hong Kong,pm25,348,31.0,134.0,85.0,2735.55
146205,2020-03-03,HK,Hong Kong,pm25,117,23.0,78.0,58.0,797.35
146206,2020-04-10,HK,Hong Kong,pm25,360,33.0,88.0,61.0,774.87
146207,2020-01-12,HK,Hong Kong,pm25,357,3.0,156.0,58.0,13751.2
146208,2020-02-19,HK,Hong Kong,pm25,354,24.0,78.0,55.0,764.64
146209,2020-03-23,HK,Hong Kong,pm25,354,13.0,105.0,59.0,1988.47
146210,2020-02-06,HK,Hong Kong,pm25,359,11.0,90.0,59.0,1368.3
146211,2020-01-18,HK,Hong Kong,pm25,355,12.0,96.0,56.0,1935.25
146212,2020-01-29,HK,Hong Kong,pm25,338,10.0,98.0,60.0,2088.7
146213,2020-02-16,HK,Hong Kong,pm25,288,1.0,87.0,22.0,3441.18
146214,2020-03-01,HK,Hong Kong,pm25,357,15.0,129.0,63.0,2481.28
146215,2020-03-13,HK,Hong Kong,pm25,340,53.0,159.0,96.0,7039.04
146216,2020-01-13,HK,Hong Kong,pm25,348,5.0,144.0,65.0,2195.72
146217,2020-01-28,HK,Hong Kong,pm25,299,2.0,92.0,37.0,2639.42
146218,2020-03-07,HK,Hong Kong,pm25,358,31.0,129.0,72.0,2680.43
146219,2020-04-14,HK,Hong Kong,pm25,338,20.0,98.0,67.0,1230.23
146220,2020-01-26,HK,Hong Kong,pm25,281,1.0,111.0,35.0,5643.55
146221,2020-02-02,HK,Hong Kong,pm25,360,44.0,112.0,78.0,893.59
146222,2020-02-03,HK,Hong Kong,pm25,353,15.0,107.0,65.0,1172.92
146223,2020-03-12,HK,Hong Kong,pm25,352,35.0,156.0,76.0,4824.25
146224,2020-03-30,HK,Hong Kong,pm25,328,4.0,80.0,52.0,1893.73
146225,2020-04-12,HK,Hong Kong,pm25,332,4.0,137.0,48.0,2308.77
146226,2020-04-22,HK,Hong Kong,pm25,322,1.0,92.0,40.0,3206.24
146227,2020-05-05,HK,Hong Kong,pm25,351,9.0,88.0,32.0,1300.64
146228,2020-01-04,HK,Hong Kong,pm25,330,34.0,153.0,87.0,5324.23
146229,2020-01-30,HK,Hong Kong,pm25,336,41.0,131.0,65.0,1067.36
146230,2020-03-14,HK,Hong Kong,pm25,333,2.0,150.0,56.0,6981.6
146231,2020-04-23,HK,Hong Kong,pm25,341,2.0,92.0,35.0,3344.41
146232,2020-01-10,HK,Hong Kong,pm25,360,55.0,153.0,82.0,2313.66
146233,2020-02-01,HK,Hong Kong,pm25,355,52.0,116.0,75.0,1234.93
146234,2020-04-01,HK,Hong Kong,pm25,359,11.0,80.0,46.0,2178.43
146235,2020-04-27,HK,Hong Kong,pm25,351,10.0,182.0,97.0,16975.5
146236,2020-05-04,HK,Hong Kong,pm25,348,3.0,140.0,38.0,2571.83
146237,2020-01-27,HK,Hong Kong,pm25,295,1.0,77.0,32.0,2031.24
146238,2020-01-08,HK,Hong Kong,pm25,347,9.0,123.0,64.0,2226.63
146239,2020-01-24,HK,Hong Kong,pm25,348,30.0,122.0,63.0,1982.01
146240,2020-02-13,HK,Hong Kong,pm25,350,4.0,92.0,55.0,3271.72
146241,2020-03-26,HK,Hong Kong,pm25,348,26.0,107.0,63.0,1527.4
146242,2020-01-01,HK,Hong Kong,pm25,326,50.0,126.0,78.0,1602.23
146243,2020-01-15,HK,Hong Kong,pm25,357,40.0,135.0,79.0,1946.61
146244,2020-01-25,HK,Hong Kong,pm25,345,3.0,116.0,56.0,4036.88
146245,2020-02-14,HK,Hong Kong,pm25,342,6.0,100.0,46.0,2698.89
146246,2020-03-25,HK,Hong Kong,pm25,358,5.0,98.0,59.0,1373.05
146247,2020-04-26,HK,Hong Kong,pm25,360,59.0,178.0,139.0,8134.93
146248,2020-04-29,HK,Hong Kong,pm25,355,41.0,116.0,63.0,940.58
146249,2020-05-03,HK,Hong Kong,pm25,357,13.0,75.0,50.0,882.69
146250,2020-01-06,HK,Hong Kong,pm25,326,21.0,111.0,59.0,1378.15
428363,2020-01-25,CN,Beijing,pm25,470,117.0,404.0,196.0,16088.1
428364,2020-04-01,CN,Beijing,pm25,422,5.0,152.0,21.0,8464.84
428365,2020-01-30,CN,Beijing,pm25,476,63.0,182.0,134.0,5470.92
428366,2020-02-22,CN,Beijing,pm25,439,5.0,151.0,30.0,2466.97
428367,2020-03-17,CN,Beijing,pm25,453,17.0,162.0,99.0,6472.95
428368,2020-03-20,CN,Beijing,pm25,454,9.0,175.0,93.0,8557.43
428369,2020-01-28,CN,Beijing,pm25,477,179.0,403.0,248.0,23774.9
428370,2020-03-08,CN,Beijing,pm25,471,91.0,229.0,170.0,1378.32
