date,STATE,COUNTY,DAILY_AQI_VALUE,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,AQI_Percent_Change,AQI_Increase,AQI_Decrease,Rec_Retail_Increase,Rec_Retail_Decrease,Grocery_Pharmacy_Increase,Grocery_Pharmacy_Decrease,Parks_Increase,Parks_Decrease,Transit_Stations_Increase,Transit_Stations_Decrease,Work_Increase,Work_Decrease,Home_Increase,Home_Decrease
2/15/20,Alabama,Jefferson,31.2,4,1,109,3,2,0,, , , , , , , , , , , , , , 
2/16/20,Alabama,Jefferson,50.2,2,-3,12,-2,-1,0,0.61,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/17/20,Alabama,Jefferson,33.4,3,1,23,-3,-14,4,-0.33,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/18/20,Alabama,Jefferson,21.2,-9,-8,-27,0,-1,2,-0.37,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/19/20,Alabama,Jefferson,26,1,1,-12,-1,1,0,0.23,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/20/20,Alabama,Jefferson,20.8,-7,-5,-42,-4,-1,3,-0.2,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/21/20,Alabama,Jefferson,27.6,0,-1,11,2,1,1,0.33,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/22/20,Alabama,Jefferson,35.4,3,2,72,4,6,-1,0.28,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/23/20,Alabama,Jefferson,54.8,-2,-2,-1,5,-1,0,0.55,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/24/20,Alabama,Jefferson,43.4,-6,-4,-33,-7,-1,2,-0.21,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/25/20,Alabama,Jefferson,27.5,5,3,20,6,3,-1,-0.37,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/26/20,Alabama,Jefferson,24.8,11,4,-11,3,1,-1,-0.1,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/27/20,Alabama,Jefferson,22.4,11,7,5,4,2,-1,-0.1,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/28/20,Alabama,Jefferson,27.8,10,5,20,6,1,-1,0.24,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/29/20,Alabama,Jefferson,29.6,14,9,92,7,7,-3,0.06,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/1/20,Alabama,Jefferson,57.6,12,8,37,7,2,-2,0.95,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/2/20,Alabama,Jefferson,31.6,4,5,-28,-4,0,1,-0.45,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/3/20,Alabama,Jefferson,47.4,19,17,65,1,2,-2,0.5,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/4/20,Alabama,Jefferson,34.4,3,-2,-36,-5,0,1,-0.27,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/5/20,Alabama,Jefferson,17,4,7,-27,-3,1,1,-0.51,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/6/20,Alabama,Jefferson,23.6,9,5,30,2,2,-1,0.39,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/7/20,Alabama,Jefferson,27.8,13,8,115,9,6,-3,0.18,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/8/20,Alabama,Jefferson,37.4,9,5,59,12,1,-1,0.35,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/9/20,Alabama,Jefferson,45.6,9,11,57,-2,1,-1,0.22,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/10/20,Alabama,Jefferson,28.2,6,9,12,-1,0,0,-0.38,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/11/20,Alabama,Jefferson,29.2,6,4,3,-3,0,0,0.04,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/12/20,Alabama,Jefferson,35.6,8,26,44,-3,1,-1,0.22,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/13/20,Alabama,Jefferson,36.6,0,36,-1,-6,-2,2,0.03,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/14/20,Alabama,Jefferson,43.6,-3,28,98,4,3,0,0.19,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/15/20,Alabama,Jefferson,19,-16,14,-22,-11,-7,4,-0.56,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/16/20,Alabama,Jefferson,38.8,-8,29,24,-13,-16,6,1.04,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/17/20,Alabama,Jefferson,68.4,-22,20,31,-14,-25,10,0.76,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/18/20,Alabama,Jefferson,54.6,-25,11,39,-17,-31,11,-0.2,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/19/20,Alabama,Jefferson,38,-28,17,17,-24,-33,13,-0.3,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/20/20,Alabama,Jefferson,33.4,-35,10,9,-29,-36,17,-0.12,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/21/20,Alabama,Jefferson,21.4,-44,2,22,-28,-23,11,-0.36,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/22/20,Alabama,Jefferson,28.8,-49,-11,-14,-37,-34,11,0.35,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/23/20,Alabama,Jefferson,32,-43,-10,-44,-41,-42,19,0.11,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/24/20,Alabama,Jefferson,38,-39,-1,10,-32,-43,17,0.19,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/25/20,Alabama,Jefferson,26.4,-39,-7,30,-32,-44,17,-0.31,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/26/20,Alabama,Jefferson,43.8,-40,-6,21,-33,-44,18,0.66,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/27/20,Alabama,Jefferson,61,-42,-7,32,-36,-45,20,0.39,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/28/20,Alabama,Jefferson,55.6,-46,-7,35,-32,-29,11,-0.09,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/29/20,Alabama,Jefferson,36,-48,-16,7,-43,-36,11,-0.35,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/30/20,Alabama,Jefferson,36.6,-38,-9,23,-39,-44,17,0.02,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/31/20,Alabama,Jefferson,29.2,-41,-10,-27,-37,-46,20,-0.2,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
4/1/20,Alabama,Jefferson,25.4,-32,5,30,-31,-46,17,-0.13,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
4/2/20,Alabama,Jefferson,28.8,-37,2,16,-34,-45,19,0.13,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
4/3/20,Alabama,Jefferson,47.8,-36,11,26,-35,-45,19,0.66,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
4/4/20,Alabama,Jefferson,49.6,-46,14,9,-35,-31,12,0.04,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
4/5/20,Alabama,Jefferson,54,-56,-17,-20,-46,-42,13,0.09,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
4/6/20,Alabama,Jefferson,62.8,-43,-9,0,-39,-46,19,0.16,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
4/7/20,Alabama,Jefferson,54.8,-46,-12,-36,-41,-48,21,-0.13,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
4/8/20,Alabama,Jefferson,50,-42,-9,-9,-37,-48,20,-0.09,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
4/9/20,Alabama,Jefferson,25.6,-41,-4,2,-40,-48,20,-0.49,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
4/10/20,Alabama,Jefferson,26.2,-41,-3,5,-44,-52,22,0.02,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
4/11/20,Alabama,Jefferson,41.2,-45,3,20,-35,-32,11,0.57,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/15/20,Alabama,Madison,26,2,1,49,4,3,-1,-0.37, , , , , , , , , , , , , , 
2/16/20,Alabama,Madison,43,1,-3,10,-7,1,-1,0.65,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/17/20,Alabama,Madison,38,6,1,16,-2,-30,7,-0.12,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/19/20,Alabama,Madison,30,3,4,3,7,3,0,-0.21,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/20/20,Alabama,Madison,25,-9,-9,-33,-2,0,3,-0.17,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/21/20,Alabama,Madison,24,1,1,5,7,1,1,-0.04,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/22/20,Alabama,Madison,33,7,2,94,11,7,-2,0.38,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/23/20,Alabama,Madison,45,0,0,1,10,3,0,0.36,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/24/20,Alabama,Madison,32,-6,-5,-33,-3,0,3,-0.29,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/25/20,Alabama,Madison,22,6,5,37,8,4,-2,-0.31,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/26/20,Alabama,Madison,22,8,4,-10,9,2,0,0,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/27/20,Alabama,Madison,25,6,4,-1,14,2,0,0.14,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/28/20,Alabama,Madison,23,6,6,6,14,2,-1,-0.08,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/29/20,Alabama,Madison,25,12,8,79,18,8,-3,0.09,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/1/20,Alabama,Madison,51,8,6,69,16,4,-2,1.04,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/2/20,Alabama,Madison,32,2,3,-26,-2,2,2,-0.37,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/3/20,Alabama,Madison,38,13,11,44,2,3,-2,0.19,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/4/20,Alabama,Madison,36,8,6,5,7,4,0,-0.05,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/5/20,Alabama,Madison,29,5,5,0,9,2,0,-0.19,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/6/20,Alabama,Madison,22,6,6,35,11,1,0,-0.24,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/7/20,Alabama,Madison,29,9,8,122,14,6,-2,0.32,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/8/20,Alabama,Madison,32,7,5,90,19,3,-1,0.1,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/9/20,Alabama,Madison,45,6,8,45,5,2,0,0.41,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/10/20,Alabama,Madison,28,6,7,18,-6,1,0,-0.38,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/11/20,Alabama,Madison,28,9,12,20,2,3,0,0,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/12/20,Alabama,Madison,38,7,31,27,4,2,0,0.36,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/13/20,Alabama,Madison,29,2,42,13,-1,0,1,-0.24,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/14/20,Alabama,Madison,28,-7,31,67,5,5,2,-0.03,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/15/20,Alabama,Madison,13,-18,8,-30,-23,-10,5,-0.54,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/16/20,Alabama,Madison,30,-11,21,-12,-25,-17,9,1.31,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/17/20,Alabama,Madison,44,-17,14,26,-22,-26,11,0.47,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/18/20,Alabama,Madison,41,-20,11,32,-21,-30,13,-0.07,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/19/20,Alabama,Madison,41,-27,11,25,-28,-34,15,0,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/20/20,Alabama,Madison,30,-38,6,-22,-39,-37,19,-0.27,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/21/20,Alabama,Madison,19,-44,2,24,-26,-20,10,-0.37,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/22/20,Alabama,Madison,25,-45,-11,22,-40,-33,10,0.32,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/23/20,Alabama,Madison,21,-40,-8,-34,-48,-44,19,-0.16,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/24/20,Alabama,Madison,28,-43,-15,-21,-41,-46,20,0.33,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/25/20,Alabama,Madison,17,-34,-5,31,-33,-45,18,-0.39,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/26/20,Alabama,Madison,38,-34,-6,43,-35,-45,19,1.24,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/27/20,Alabama,Madison,62,-36,-2,42,-41,-45,19,0.63,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/28/20,Alabama,Madison,56,-42,-5,58,-22,-27,10,-0.1,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/29/20,Alabama,Madison,27,-46,-17,35,-39,-38,10,-0.52,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/30/20,Alabama,Madison,36,-39,-15,-7,-46,-50,20,0.33,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/31/20,Alabama,Madison,28,-41,-14,-36,-45,-52,22,-0.22,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
4/1/20,Alabama,Madison,27,-35,-1,21,-37,-51,20,-0.04,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
4/2/20,Alabama,Madison,35,-38,-3,19,-40,-52,21,0.3,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
4/3/20,Alabama,Madison,51,-36,11,34,-43,-51,21,0.46,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
4/4/20,Alabama,Madison,46,-47,4,39,-38,-33,12,-0.1,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
4/5/20,Alabama,Madison,59,-56,-28,8,-53,-43,13,0.28,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
4/6/20,Alabama,Madison,58,-45,-20,1,-45,-54,22,-0.02,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
4/7/20,Alabama,Madison,53,-44,-16,-3,-45,-54,22,-0.09,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
4/8/20,Alabama,Madison,43,-43,-14,-3,-48,-54,23,-0.19,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
4/9/20,Alabama,Madison,26,-42,-10,1,-46,-55,23,-0.4,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
4/10/20,Alabama,Madison,29,-42,-8,13,-51,-56,24,0.12,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
4/11/20,Alabama,Madison,38,-46,-5,55,-37,-36,11,0.31,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/15/20,Alabama,Montgomery,51,6,1,56,6,3,-1,0.34, , , , , , , , , , , , , , 
2/16/20,Alabama,Montgomery,57,-3,-1,-16,-31,-4,1,0.12,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/17/20,Alabama,Montgomery,50,2,0,-2,-21,-28,7,-0.12,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/18/20,Alabama,Montgomery,45,-1,-3,-4,-18,1,1,-0.1,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/19/20,Alabama,Montgomery,23,3,0,2,-10,-1,1,-0.49,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/20/20,Alabama,Montgomery,30,-9,-8,-21,-12,0,4,0.3,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/21/20,Alabama,Montgomery,33,2,-2,38,-11,2,1,0.1,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/22/20,Alabama,Montgomery,53,1,0,56,13,15,-2,0.61,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/23/20,Alabama,Montgomery,58,2,3,0,-16,0,-1,0.09,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/24/20,Alabama,Montgomery,56,-6,-5,-25,-25,2,1,-0.03,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/25/20,Alabama,Montgomery,26,7,0,13,-6,4,0,-0.54,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/26/20,Alabama,Montgomery,34,18,7,21,11,2,-2,0.31,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/27/20,Alabama,Montgomery,33,15,9,16,20,2,-2,-0.03,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/28/20,Alabama,Montgomery,47,14,7,42,7,2,-2,0.42,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/3/20,Alabama,Montgomery,41,14,8,16,-9,1,0,-0.13,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/4/20,Alabama,Montgomery,28,3,-5,-16,-9,-2,2,-0.32,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/5/20,Alabama,Montgomery,30,9,9,7,5,1,1,0.07,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/6/20,Alabama,Montgomery,32,9,4,20,6,3,-1,0.07,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/7/20,Alabama,Montgomery,37,12,7,41,14,16,-3,0.16,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/8/20,Alabama,Montgomery,56,15,12,39,1,4,-2,0.51,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/9/20,Alabama,Montgomery,58,9,11,30,-8,3,-2,0.04,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/10/20,Alabama,Montgomery,54,10,8,19,-5,2,0,-0.07,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/11/20,Alabama,Montgomery,58,13,9,34,8,1,-2,0.07,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/12/20,Alabama,Montgomery,50,13,22,39,18,2,-1,-0.14,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/13/20,Alabama,Montgomery,53,5,36,18,-5,-1,0,0.06,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/14/20,Alabama,Montgomery,67,-5,23,25,19,3,0,0.26,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
